"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrezid"
"9429",476.927824344591,-2.92257962420985,0.405241315521067,1.73437561367207e-16,2.48015712755106e-14,"ABCG2","9429"
"10112",457.306268709592,1.73162675940449,0.22371155348854,1.85190750458867e-16,2.6320800014913e-14,"KIF20A","10112"
"5348",129.728806621165,-2.61867341415977,0.354866722399026,2.27838646119525e-16,3.21860060751516e-14,"FXYD1","5348"
"4306",2950.71907513493,-1.71090029515995,0.221631724217022,2.37084614555614e-16,3.32903932570892e-14,"NR3C2","4306"
"23336",6791.0108245507,-3.39562203642294,0.509252858044723,2.55131203077666e-16,3.56098994762713e-14,"SYNM","23336"
"79586",1588.8975844198,1.41028082113188,0.180133408368935,3.51577310563055e-16,4.87792591185372e-14,"CHPF","79586"
"5166",1788.39346419154,-2.63553921795993,0.362940277768237,5.10483513677695e-16,7.04074569249313e-14,"PDK4","5166"
"54600",121.837964546579,-2.50489160099488,0.339014413051092,5.14294717404116e-16,7.05158562821914e-14,"UGT1A9","54600"
"6586",891.353934285737,-2.13646605401272,0.288009529205651,5.29100607710158e-16,7.21216728954157e-14,"SLIT3","6586"
"283212",44.6632045050636,1.757486960042,0.227924464449086,6.30804449362154e-16,8.54850052917584e-14,"KLHL35","283212"
"6750",68.8924620987805,-3.99382606180983,0.559578621538679,7.98883295100652e-16,1.07636825002897e-13,"SST","6750"
"286133",1270.26729055249,-2.7988006714051,0.398420108602154,9.78519707238316e-16,1.31082275034586e-13,"SCARA5","286133"
"55083",350.534382412932,2.01561729854337,0.272875322174586,1.01412376301199e-15,1.35075490240266e-13,"KIF26B","55083"
"25984",327.664277080008,4.11330073380674,0.660669133918556,1.15405997541939e-15,1.52840817994606e-13,"KRT23","25984"
"7070",1564.44031298376,2.02403468484908,0.276376964594835,1.23293923274898e-15,1.62364862012125e-13,"THY1","7070"
"5346",330.710867675221,-3.79781679773742,0.596994297911269,1.41201518618143e-15,1.849025953635e-13,"PLIN1","5346"
"85455",459.289454289802,-2.00458890412905,0.272661251602362,1.59878928878448e-15,2.08190947107696e-13,"DISP2","85455"
"6387",1319.48578845867,-2.13092586044212,0.29396786022937,1.65845215666473e-15,2.1476034066499e-13,"CXCL12","6387"
"2069",1684.47320023472,3.50041030134375,0.545238918106511,1.80725241930011e-15,2.32736169289869e-13,"EREG","2069"
"101927125",25.0225780330162,3.1835464496005,0.426258661404507,1.8181853040902e-15,2.32857589302409e-13,"ELFN1-AS1","101927125"
"100048912",415.071886687005,-2.10054854521881,0.284056834210028,2.06927209439303e-15,2.63566465837197e-13,"CDKN2B-AS1","100048912"
"10875",2492.66390837716,-1.41608461395479,0.188045745532871,2.18045490693573e-15,2.76218605574809e-13,"FGL2","10875"
"2899",187.650126058602,-2.47959043706273,0.348162786462709,2.25885318318778e-15,2.84603291064454e-13,"GRIK3","2899"
