"","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezid","symbol"
"8862",138.621967142691,2.59941126387936,0.462893156310198,5.88946903318145e-12,8.27365975952186e-10,"8862","APLN"
"110599563",172.577149352051,3.47312841619414,0.69323228960504,5.98666029409756e-12,8.29257112625765e-10,"110599563","LY6G6F-LY6G6D"
"192666",81.2678621173923,-4.76266470408588,1.11990577277258,6.35657896115895e-12,8.68352524569907e-10,"192666","KRT24"
"6781",237.740835151492,2.38678237246588,0.406029633999231,6.519136428483e-12,8.84459276543776e-10,"6781","STC1"
"59283",19.2665025965312,2.87627064079868,0.493503634541612,6.97488365862698e-12,9.39853710952947e-10,"59283","CACNG8"
"705",470.718638281623,1.2091533953017,0.18853221589799,7.13866204048253e-12,9.49010857032737e-10,"705","BYSL"
"84955",515.259838595398,1.16816756128531,0.179899841546828,7.0910858907764e-12,9.49010857032737e-10,"84955","NUDCD1"
"105375752",16.9277810403405,4.1032599936486,0.701150125473949,7.28438298467328e-12,9.61927054402722e-10,"105375752",NA
"80727",3568.02599664062,1.27935758841121,0.199856324632583,7.71780786473136e-12,1.00575222489868e-09,"80727","TTYH3"
"176",155.104702700413,2.94579766830463,0.555153906799435,7.86682795648316e-12,1.01847142589555e-09,"176","ACAN"
"57126",7654.67316341486,-3.54861950760078,0.814923510953129,8.18307248601248e-12,1.05253441430477e-09,"57126","CD177"
"3854",234.048980157567,4.64482399715319,0.848813589061583,8.59328078568534e-12,1.08456984280447e-09,"3854","KRT6B"
"23140",3150.3696511936,-1.16452728760857,0.182984610038211,8.59639869347241e-12,1.08456984280447e-09,"23140","ZZEF1"
"54857",161.533323310888,-2.46545296356482,0.436336141696346,8.52326193292527e-12,1.08456984280447e-09,"54857","GDPD2"
"25903",515.381536300615,2.2219687078688,0.385298286070699,8.80237633354441e-12,1.10352829376486e-09,"25903","OLFML2B"
"57464",90.9185164342334,1.98890377522118,0.335540198255505,9.60552201393085e-12,1.18916362532464e-09,"57464","STRIP2"
"54997",387.004183388006,2.49682609507321,0.431582324191074,1.15029932058138e-11,1.40648944086889e-09,"54997","TESC"
"57460",684.09351612028,1.41896773451335,0.230341152250271,1.19843625859636e-11,1.45635738713354e-09,"57460","PPM1H"
"6533",1247.33367691661,1.86222584561714,0.3047257019496,1.21154352538097e-11,1.46330817992355e-09,"6533","SLC6A6"
"813",3026.1001327315,1.1257524247781,0.178725060730138,1.29375374765369e-11,1.5437755562364e-09,"813","CALU"
"80157",458.896027220636,-3.65634239397708,0.759127543159032,1.37083398345086e-11,1.61101269239229e-09,"80157","CWH43"
"84733",187.638937794546,2.06123421514184,0.343219938264424,1.35856402657739e-11,1.61101269239229e-09,"84733","CBX2"
"54106",31.0175345042424,-1.47138166108657,0.236586824766515,1.49528299792961e-11,1.71433858464247e-09,"54106","TLR9"
"137075",1381.05545076436,-1.99497206843578,0.344901910082322,1.48782165135527e-11,1.71433858464247e-09,"137075","CLDN23"
"84962",487.778939532679,1.99626478292331,0.335962129600764,1.49727673234626e-11,1.71433858464247e-09,"84962","AJUBA"
"2358",35.7720873745761,2.73284471564809,0.490641690269198,1.49083123327378e-11,1.71433858464247e-09,"2358","FPR2"
"79586",2419.30095682251,1.07975784149595,0.170370449250392,1.53827543034163e-11,1.75115860483948e-09,"79586","CHPF"
"340706",714.006755760488,2.51692199754922,0.451281216449127,1.58982017699766e-11,1.78927034465736e-09,"340706","VWA2"
"270",59.6457022426732,-3.16069401753011,0.636941177050134,1.66562220898447e-11,1.86399122686804e-09,"270","AMPD1"
"9314",4187.88739875613,-2.06616240382373,0.360063040051613,1.74766570654238e-11,1.933953201966e-09,"9314","KLF4"
"286207",184.227630044848,1.2017308527101,0.192427042512361,1.84494836900074e-11,2.0302631829537e-09,"286207","CFAP157"
"4233",2193.08022269589,1.16703794757666,0.185671129115745,1.87982143425728e-11,2.05721010882697e-09,"4233","MET"
"9569",883.22664055217,1.56317064969918,0.256289446213888,1.9715407182664e-11,2.14572959051763e-09,"9569","GTF2IRD1"
"23495",97.8860275047667,-2.76273579937093,0.525874511867766,2.06468938118683e-11,2.23482881216113e-09,"23495","TNFRSF13B"
"79154",1803.43690638934,-1.86670903519388,0.316685824988573,2.14026389875443e-11,2.3040406144852e-09,"79154","DHRS11"
"107986852",29.094770932919,1.70093327634517,0.278359443795468,2.24897991524798e-11,2.40798887358011e-09,"107986852","LOC107986852"
"8671",2545.00785388002,-3.06250980369964,0.702193449453002,2.39780299253923e-11,2.53024996758995e-09,"8671","SLC4A4"
"100129461",53.3058523698589,1.06276750343527,0.168468478152371,2.40148926649289e-11,2.53024996758995e-09,"100129461","LYRM4-AS1"
"8767",328.088833356816,1.21719912547689,0.196096039806788,2.55157735702286e-11,2.66008654146888e-09,"8767","RIPK2"
"84627",195.37215072248,1.96919628417965,0.335974076137778,2.55117127663729e-11,2.66008654146888e-09,"84627","ZNF469"
"100506023",25.0532484608061,-1.29374005091331,0.207553434335638,2.72142711463408e-11,2.77006893054836e-09,"100506023","LOC100506023"
"340024",647.529046365843,-3.51717480989607,0.83310806601476,2.67942575993795e-11,2.77006893054836e-09,"340024","SLC6A19"
"5464",3778.52938366873,1.00374661188393,0.159511035409394,2.72699637246027e-11,2.77006893054836e-09,"5464","PPA1"
"10420",304.138556278434,-1.12847450074748,0.183729511679726,2.76059771433288e-11,2.78989385334213e-09,"10420","TESK2"
"389658",29.9019020103114,3.06569729957173,0.562625176445703,2.77923671891092e-11,2.79447314356282e-09,"389658","ALKAL1"
"4237",232.600956641943,2.11135197260841,0.361232912766677,2.80424085433845e-11,2.80537388094627e-09,"4237","MFAP2"
"57761",934.577994364446,2.23472469912029,0.398808591123665,2.81987200476383e-11,2.80683541057095e-09,"57761","TRIB3"
"79989",134.922801811008,1.24310667831751,0.201924149490293,2.84416006944944e-11,2.81685613278273e-09,"79989","IFT56"
"109729173",14.6887240005004,2.06511562891945,0.344142810225259,2.92925554015191e-11,2.86227215011012e-09,"109729173","TFAP2A-AS2"
"5954",3786.84833561227,1.11716062756557,0.178422311664886,2.93336655125381e-11,2.86227215011012e-09,"5954","RCN1"
