"",gene_symbol,GSM2440320,GSM2440321,GSM2440322,GSM2440323,GSM2440324,GSM2440325,GSM2440326,GSM2440327,GSM2440328,GSM2440329,GSM2440330,GSM2440331
ENSG00000244731,C4A,3208.7219,405.7454,116.1781,425.4693,268.092,1322.2312,65.6536,1732.0493,246.8606,171.7837,651.8677,423.8781
ENSG00000244734,HBB,75.1759,1221.489,1886.2702,39.6706,126.2635,865.9175,2161.6189,255.5968,256.0688,231.4647,159.7268,125.3581
ENSG00000244738,LOC101928583,3.0436,10.0488,0.9812,2.0166,0,1.0091,0,0.9971,0,0,0.9889,0
ENSG00000244752,CRYBB2,8.1458,4.0658,37.5503,51.4051,3.0178,1.0103,6.0268,6.0384,183.9514,32.1754,14.9651,2.9987
ENSG00000244754,N4BP2L2,786.9891,1074.6503,674.6501,1013.7373,1321.3393,572.0672,623.8742,1367.2925,1006.6276,1008.1709,352.0836,370.29
ENSG00000244791,LOC101927657,4.0279,3.0062,0,0,3.006,0,1.0076,0.9983,2.0037,1.2613,1.9854,0.9912
ENSG00000244879,MIR4712,384.0786,281.6933,344.7288,564.125,828.8754,303.6802,649.4455,464.3346,542.4318,653.5058,903.7233,200.4763
ENSG00000244926,ALKBH3-AS1,4.8854,8.9181,2.0716,0,3.9308,4.8537,4.0299,3.0112,0.9943,0,0,0
ENSG00000244945,LOC101928445,1.0509,16.2356,10.9624,10.5903,35.8032,148.8463,1.049,15.6886,9.6526,7.9487,7.9981,4.0197
ENSG00000244968,LIFR-AS1,4.2053,2.1151,2.2491,2.0663,4.0971,48.2178,3.0245,3.1092,10.3608,5.344,16.1487,7.4323
ENSG00000245008,LOC101929538,0,7.9251,12.5812,8.2733,2.2093,2.0879,2.3277,9.9929,5.488,7.836,17.8777,5.098
ENSG00000245017,LOC643770,19.4445,25.3603,13.7691,13.2612,4.9597,5.0239,10.3447,6.0121,10.8587,14.7878,9.3276,5.3716
ENSG00000245025,LOC107986927,7.3084,6.5895,7.8531,5.0136,20.8334,185.2069,1.3769,21.41,12.8972,1.9873,11.904,6.073
ENSG00000245060,LINC00847,190.5245,171.7285,104.0587,102.4704,519.4348,698.9342,117.2348,251.1858,716.6948,210.7353,34.4416,42.7294
ENSG00000245067,IGFBP7-AS1,0,0,0,3.0139,4.0131,10.0093,0,0,2.0045,0,0,0
ENSG00000245080,MIR3150B,0,1.0045,0.9826,4.0228,4.0023,1.008,2.998,1.9945,5.0086,2.976,0,0
ENSG00000245105,A2M-AS1,1.012,0,0,1.0754,12.0622,69.2806,0.9961,0,2.0061,0,0,0
ENSG00000245112,SMARCA5-AS1,0,5.1203,1.0026,0,0.9969,1.1148,0,0,0.9999,0,0,0
ENSG00000245146,LINC01024,22.0888,23.977,17.2259,14.9598,53.8499,16.9526,31.0587,6.9995,41.9707,18.0177,5.0414,3.9736
ENSG00000245149,RNF139-AS1,27.1705,21.1758,18.2617,35.3974,103.366,33.21,29.7323,13.7108,33.868,18.079,64.0362,12.1966
ENSG00000245164,LINC00861,16.2826,17.3511,0.978,4.1206,7.0476,19.1915,4.9902,11.3938,3.0788,1.9815,12.1997,18.1409
ENSG00000245213,LOC101930370,22.0273,16.5796,10.8979,40.3502,42.5073,27.3132,15.2323,22.4575,20.3788,28.0957,54.8559,14.1768
ENSG00000245281,LOC101929066,6.242,1.9939,2.1193,16.9558,7.4695,4.941,7.071,10.6453,9.1645,3.0333,21.9728,6.4783
ENSG00000245293,LOC101929595,3.9413,11.7913,1.0229,4.9609,1.9945,1.1462,7.0232,5.9878,30.7118,25.0488,14.0581,8.0822
