"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"3109",1622.47648085882,-0.750924023224759,0.214523921603552,0.000211002266089856,0.00070328070034228,"HLA-DMB"
"2034",4056.9751989086,-0.875839537689857,0.257658243242622,0.0002115066466746,0.000704841195069788,"EPAS1"
"10202",193.73775033773,1.69263052864248,0.71297500721189,0.000211616938974407,0.000705088090081535,"DHRS2"
"57522",459.883092457598,-0.595437354316014,0.166182067431279,0.000212095804507964,0.000706441900597332,"SRGAP1"
"724102",69.3416005786898,1.20425649813986,0.382287080626632,0.000212349568417764,0.000707166184154575,"SNHG4"
"9173",74.288102581236,-1.053417295352,0.322359862630511,0.000212521975205837,0.000707619331019607,"IL1RL1"
"2867",168.622875604334,1.12173340128611,0.352897037492805,0.000212815160221963,0.000708474400909867,"FFAR2"
"7098",251.98435854782,-1.14500129202045,0.34788825049465,0.000213052565857695,0.000709028869092301,"TLR3"
"5950",795.514482876499,1.55543620832387,0.56107640761359,0.000213054528468711,0.000709028869092301,"RBP4"
"4818",299.861402715348,-1.01997577749574,0.310562450977068,0.000213273188518849,0.000709514066690227,"NKG7"
"3188",1217.77351486308,0.616064566624584,0.172847920924475,0.000213266198578578,0.000709514066690227,"HNRNPH2"
"3708",484.933066644681,-0.915433954811576,0.271362519098263,0.000213333879212883,0.000709594756220479,"ITPR1"
"91156",35.633379457806,-1.33568625511409,0.476640914680306,0.000214000597512545,0.000711690853237161,"IGFN1"
"677796",10.821734115484,1.16754862812758,0.35883971904887,0.000214114874760005,0.000711846288309289,"SNORA5C"
"51548",4352.87684294552,-0.861243415849167,0.253855942288389,0.000214120439379503,0.000711846288309289,"SIRT6"
"221914",60.9965461791093,0.729720344836342,0.208458265762693,0.000214513303392187,0.000713030650889714,"GPC2"
"30851",2109.48617297945,-0.624646582248763,0.175884629408364,0.000215280551626672,0.000715458829851439,"TAX1BP3"
"79953",94.0478228584691,0.793744846950622,0.229940198699413,0.000215325212579824,0.000715485158674642,"SYNDIG1"
"26154",27.048311032676,1.84481854112275,0.705250361844629,0.000216577574129204,0.000719523755743133,"ABCA12"
"9818",832.048616951155,0.806215690935745,0.231589114200946,0.000217488122356855,0.000722302384532701,"NUP58"
"9466",487.260265652584,0.684568642085566,0.194341692410954,0.000217654373178058,0.000722731273255359,"IL27RA"
"11112",1228.99378848397,0.657464352196953,0.18502135645864,0.000218187172880219,0.000724376950535673,"HIBADH"
"25823",1873.05454397167,-1.55593339679386,0.541267155723086,0.000218241604311364,0.000724434164643568,"TPSG1"
"441884",15.2987160608051,-1.15723824926371,0.356553694825124,0.000219855207890284,0.000729417406075517,"CALR4P"
"26504",2491.75228625704,-1.03274324063156,0.31010806951532,0.00022052125752202,0.000731260275393891,"CNNM4"
"57101",21.5451193850067,-0.769787085957688,0.222478904834033,0.000220523316939067,0.000731260275393891,"ANO2"
"11047",7772.3447678418,0.885900917347832,0.261553241488327,0.000220627602154016,0.000731481537614823,"ADRM1"
"57105",42.9317115763053,-0.991761348739132,0.296218508276982,0.000222520933726147,0.000737382199135055,"CYSLTR2"
"940",91.0529960270861,-0.797132980060385,0.233316938351038,0.000223039784501269,0.000738882348443521,"CD28"
"84108",181.345804935875,0.684097089115141,0.195376958732801,0.000223049516123207,0.000738882348443521,"PCGF6"
"57001",428.538446527782,0.662492823043387,0.191606095106018,0.00022321521427939,0.00073930549287264,"SDHAF3"
"155465",2693.25583542149,-1.04328354658194,0.325603053698963,0.000223521089707951,0.000740192692069775,"AGR3"
"56915",1418.74753999585,0.934004695530078,0.280302673622548,0.000224302978093121,0.000742529406487085,"EXOSC5"
"81849",85.2214328894458,0.872750553221516,0.265854997674687,0.000224693465336656,0.000743695655579772,"ST6GALNAC5"
"64146",873.886763258946,0.614146018891752,0.172811956379432,0.000225002919378269,0.000744466845887154,"PDF"
"149175",463.565883120742,0.840721432486686,0.247851597116317,0.000225091750923489,0.000744634253309827,"MANEAL"
"29965",734.021988456367,-0.752500814501336,0.220447001348606,0.00022583939461431,0.000746980674272025,"CDIP1"
"101928429",15.2755247436054,-0.976225026281443,0.290720382279124,0.000227225839306269,0.000751438821614806,"MAP3K5-AS2"
"100422860",17.3773093570097,1.00511506845968,0.309085387949753,0.000231020773135448,0.000763729342524674,"MIR4292"
"100288413",20.3221017000647,1.22456588953813,0.398764063163287,0.000232049379596262,0.000766739339605903,"ERVMER34-1"
"4259",5775.7432845305,-0.796629061641555,0.232211368023424,0.000232307185202933,0.000767460972320123,"MGST3"
"1234",179.605608865558,-0.670341938694654,0.190018449961722,0.000233056889369396,0.000769546103843504,"CCR5"
"100500888",231.145904291309,1.17109857164941,0.364529165798269,0.000233026354969811,0.000769546103843504,"MIR3940"
"84448",730.561946689378,0.963520712631427,0.293912013106287,0.000233368138334214,0.000770371033791533,"ABLIM2"
"8514",1022.33192964186,0.655973931591687,0.186178638630299,0.000233482307314111,0.000770558877299154,"KCNAB2"
"79733",225.573074170354,1.12396648582591,0.347716875384902,0.000234561092486673,0.00077385689923394,"E2F8"
"27124",751.574588441403,-0.960924434373561,0.29324396266075,0.000234838396078777,0.000774640542620966,"INPP5J"
"101927755",56.0207731653885,-0.914767139554495,0.268844837903093,0.000235500131809909,0.000776691797967482,"RNFT1-DT"
"113219467",8251.71286757034,-1.4527102962521,0.530244085691803,0.000235696792416978,0.000777208776214128,"MIR12136"
"1312",3866.02861606436,0.763129320675837,0.220951084792954,0.000235981335642224,0.000778015322775065,"COMT"
"105369780",33.5265923936915,0.655333891492437,0.188156523133071,0.000236301043336807,0.000778937511676424,NA
"353091",25.752556526139,0.950969481747964,0.284761481161239,0.000236383796121626,0.000779078427732049,"RAET1G"
"6355",67.6615742260931,-1.39265622941143,0.512045792027048,0.000236476411467441,0.000779251795825452,"CCL8"
"11200",488.687416948715,0.692207399587415,0.198706880536026,0.00023710256556014,0.000781182957923147,"CHEK2"
"9194",145.589073558928,-1.07718277539181,0.349095072619967,0.000238773662178611,0.000786422640102901,"SLC16A7"
"79827",464.194284087689,-0.867281199576331,0.264324641339658,0.000238837656462084,0.000786500398985303,"CLMP"
"375616",192.182629665205,1.11849156669073,0.366186564517507,0.000239453025389192,0.000788127035567774,"KCP"
"8534",192.038151561631,0.9006396398867,0.273952690035621,0.000240107458237076,0.000790147473667972,"CHST1"
